sku_id,product_name,category,subcategory,brand,base_price_usd,cost_price_usd,current_price_usd,min_price_usd,max_price_usd,inventory_count,restock_days,avg_rating,review_count,weight_kg,is_active,launch_date,tags,image_url
SKU001410,EcoWave Elite Headphones Green 373,Electronics,Headphones,EcoWave,1507.58,889.81,1433.81,934.3,1959.85,216,3.0,3.4,3706,9.78,True,2020-09-08,"[""eco"", ""exclusive""]",https://images.pexels.com/photos/8597722/pexels-photo-8597722.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU004625,PureTouch Pro Fragrances Black 127,Beauty & Health,Fragrances,PureTouch,1487.81,647.2,1381.11,679.56,1934.15,445,18.0,2.8,1735,18.24,True,2023-06-29,"[""trending""]",https://images.pexels.com/photos/32645070/pexels-photo-32645070.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU001838,TrueBlend Deluxe Gaming Red 878,Electronics,Gaming Consoles,TrueBlend,1338.37,709.31,1431.87,744.78,1739.88,167,,4.2,4746,14.75,True,2022-02-27,"[""new"", ""sale"", ""eco""]",https://images.pexels.com/photos/4523013/pexels-photo-4523013.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU005080,UrbanEdge Smart Sports Gray 483,Beauty & Health,Sports Nutrition,UrbanEdge,1231.55,616.94,1154.46,647.79,1601.02,51,,3.5,2592,5.88,True,2020-07-11,"[""limited""]",https://images.pexels.com/photos/14433554/pexels-photo-14433554.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU005572,RapidX Deluxe Educational Blue 820,Books & Media,Educational,RapidX,1227.89,491.75,1341.05,516.34,1596.26,323,7.0,3.1,426,12.02,True,2020-02-09,"[""exclusive"", ""sale""]",https://images.pexels.com/photos/35652402/pexels-photo-35652402.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU001642,FreshHub Elite Cameras White 798,Electronics,Cameras,FreshHub,1690.45,1078.53,1561.91,1132.46,2197.59,230,29.0,5.0,349,12.45,True,2021-05-16,"[""limited"", ""exclusive"", ""new""]",https://images.pexels.com/photos/29043652/pexels-photo-29043652.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU005336,AuraStyle Premium Fiction Navy 690,Books & Media,Fiction,AuraStyle,1452.2,836.42,1196.6,878.24,1887.86,311,,3.7,2634,10.14,True,2022-01-30,"[""new"", ""limited"", ""eco""]",https://images.pexels.com/photos/10519085/pexels-photo-10519085.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU002539,BoldCraft Ultra Activewear Red 581,Clothing,Activewear,BoldCraft,707.37,458.23,657.35,481.14,919.58,2,13.0,3.8,2765,10.47,True,2022-12-23,"[""trending""]",https://images.pexels.com/photos/29242398/pexels-photo-29242398.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU002837,SwiftMart Classic Innerwear Pink 199,Clothing,Innerwear,SwiftMart,563.93,355.92,586.03,373.72,733.11,352,,4.6,2806,1.8,True,2022-07-10,"[""exclusive""]",https://images.pexels.com/photos/26761372/pexels-photo-26761372.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU001486,VitaPlus Eco Smartwatches Gray 961,Electronics,Smartwatches,VitaPlus,1414.28,893.34,1452.08,938.01,1838.56,499,20.0,4.0,834,16.49,False,2020-08-03,"[""eco""]",https://images.pexels.com/photos/13598511/pexels-photo-13598511.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU006151,AuraStyle Classic Magazines Gray 655,Books & Media,Magazines,AuraStyle,767.26,473.91,838.04,497.61,997.44,157,25.0,3.5,31,4.01,False,2021-03-09,"[""exclusive"", ""new"", ""sale""]",https://images.pexels.com/photos/30405425/pexels-photo-30405425.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU003650,RapidX Pro Lighting White 212,Home & Kitchen,Lighting,RapidX,1290.68,634.16,1169.46,665.87,1677.88,396,,4.7,4615,9.73,True,2022-01-06,"[""sale"", ""trending""]",https://images.pexels.com/photos/12328313/pexels-photo-12328313.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU005444,ZenHome Deluxe Non-Fiction Blue 648,Books & Media,Non-Fiction,ZenHome,1858.95,1131.13,1742.63,1187.69,2416.64,267,,3.2,628,0.17,True,2020-06-13,"[""exclusive"", ""bestseller""]",https://images.pexels.com/photos/5217784/pexels-photo-5217784.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU002726,LunaGear Classic Accessories Navy 290,Clothing,Accessories,LunaGear,691.51,343.94,647.29,361.14,898.96,255,15.0,3.6,952,13.79,True,2022-10-21,"[""limited"", ""sale""]",https://images.pexels.com/photos/22434780/pexels-photo-22434780.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU003083,PageTurn Lite Sleepwear Green 275,Clothing,Sleepwear,PageTurn,1691.09,840.87,1836.37,882.91,2198.42,190,,3.1,82,12.27,True,2020-03-08,"[""limited"", ""trending""]",https://images.pexels.com/photos/20377876/pexels-photo-20377876.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU005858,SwiftMart Premium DVDs Gray 590,Books & Media,DVDs,SwiftMart,1031.33,429.39,859.68,450.86,1340.73,202,,3.7,4015,17.39,True,2020-05-15,"[""bestseller"", ""limited"", ""new""]",https://images.pexels.com/photos/23325197/pexels-photo-23325197.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU004931,SwiftMart Compact Medical Gold 116,Beauty & Health,Medical Devices,SwiftMart,1577.1,647.21,1496.46,679.57,2050.23,317,2.0,3.5,4127,9.2,True,2021-11-17,"[""sale""]",https://images.pexels.com/photos/8670204/pexels-photo-8670204.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU005317,BrightPath Smart Fiction Navy 141,Books & Media,Fiction,BrightPath,1960.44,1235.55,2046.18,1297.33,2548.57,17,,2.9,2452,11.72,True,2021-07-22,"[""new"", ""limited"", ""bestseller""]",https://images.pexels.com/photos/19026787/pexels-photo-19026787.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU005220,SwiftMart Smart Eye Gray 854,Beauty & Health,Eye Care,SwiftMart,49.82,23.73,47.66,24.92,64.77,266,,3.2,4552,16.87,True,2022-02-05,"[""trending"", ""limited"", ""bestseller""]",https://images.pexels.com/photos/6925493/pexels-photo-6925493.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU004813,NovaTech Compact Personal Red 846,Beauty & Health,Personal Care,NovaTech,1637.81,835.55,1744.69,877.33,2129.15,341,,3.2,4388,6.1,True,2020-11-26,"[""eco"", ""bestseller""]",https://images.pexels.com/photos/15499664/pexels-photo-15499664.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU005497,UrbanEdge Classic Non-Fiction Pink 496,Books & Media,Non-Fiction,UrbanEdge,537.71,339.68,521.27,356.66,699.02,337,29.0,4.0,2080,0.83,True,2022-04-15,"[""eco""]",https://images.pexels.com/photos/8856755/pexels-photo-8856755.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU003357,SwiftMart Lite Bedding Black 340,Home & Kitchen,Bedding,SwiftMart,484.96,259.27,395.77,272.23,630.45,253,,4.9,4876,15.16,True,2020-05-14,"[""trending"", ""sale"", ""new""]",https://images.pexels.com/photos/8076114/pexels-photo-8076114.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU004540,PageTurn Deluxe Makeup Black 245,Beauty & Health,Makeup,PageTurn,142.58,91.94,136.59,96.54,185.35,177,,4.8,4836,19.48,True,2020-02-17,"[""limited""]",https://images.pexels.com/photos/3552894/pexels-photo-3552894.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU002807,PrimePick Eco Accessories Green 452,Clothing,Accessories,PrimePick,718.04,323.24,721.7,339.4,933.45,363,,4.1,4120,14.03,True,2023-01-05,"[""bestseller"", ""trending"", ""new""]",https://images.pexels.com/photos/6444676/pexels-photo-6444676.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU005419,BoldCraft Premium Non-Fiction Black 248,Books & Media,Non-Fiction,BoldCraft,911.83,490.25,926.82,514.76,1185.38,25,9.0,3.0,399,18.42,True,2023-03-02,"[""eco""]",https://images.pexels.com/photos/5137817/pexels-photo-5137817.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU004711,PrimePick Ultra Vitamins Green 189,Beauty & Health,Vitamins,PrimePick,549.4,321.35,441.18,337.42,714.22,436,6.0,4.1,4560,10.52,True,2021-07-02,"[""eco"", ""new"", ""trending""]",https://images.pexels.com/photos/29183543/pexels-photo-29183543.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU002503,PrimePick Ultra Activewear Gold 487,Clothing,Activewear,PrimePick,162.33,73.04,134.75,76.69,211.03,171,,3.9,4594,1.04,True,2022-03-28,"[""sale""]",https://images.pexels.com/photos/29242398/pexels-photo-29242398.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU005865,UrbanEdge Eco DVDs Red 258,Books & Media,DVDs,UrbanEdge,1930.8,1123.38,1783.79,1179.55,2510.04,177,,3.3,956,16.06,True,2022-02-08,"[""bestseller""]",https://images.pexels.com/photos/27236805/pexels-photo-27236805.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU005632,FreshHub Deluxe Comics Blue 752,Books & Media,Comics,FreshHub,1224.1,492.97,1145.81,517.62,1591.33,401,,3.9,4089,6.41,True,2022-04-07,"[""exclusive"", ""new"", ""bestseller""]",https://images.pexels.com/photos/12113867/pexels-photo-12113867.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU005518,UrbanEdge Compact Educational Silver 567,Books & Media,Educational,UrbanEdge,1024.98,508.69,863.42,534.12,1332.47,208,,5.0,2019,18.34,True,2020-05-07,"[""limited"", ""eco"", ""sale""]",https://images.pexels.com/photos/35673110/pexels-photo-35673110.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU001033,PeakForm Smart Smartphones Navy 812,Electronics,Smartphones,PeakForm,129.22,78.59,104.13,82.52,167.99,450,,3.5,48,18.86,True,2022-03-09,"[""exclusive"", ""eco""]",https://images.pexels.com/photos/10902918/pexels-photo-10902918.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU004129,PureTouch Deluxe Garden Black 561,Home & Kitchen,Garden,PureTouch,669.83,342.39,701.21,359.51,870.78,222,,4.1,4962,4.03,True,2021-03-05,"[""limited""]",https://images.pexels.com/photos/7729130/pexels-photo-7729130.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU003225,LunaGear Pro Cookware Gold 307,Home & Kitchen,Cookware,LunaGear,1550.51,900.62,1595.76,945.65,2015.66,3,,4.3,3017,14.03,True,2023-12-05,"[""new""]",https://images.pexels.com/photos/34005916/pexels-photo-34005916.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU001747,LunaGear Ultra Speakers Green 439,Electronics,Speakers,LunaGear,1720.15,786.68,1589.45,826.01,2236.2,283,,4.9,295,16.93,True,2022-12-14,"[""exclusive""]",https://images.pexels.com/photos/14309809/pexels-photo-14309809.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU003402,NextGen Compact Storage Pink 223,Home & Kitchen,Storage,NextGen,1371.06,870.63,1334.4,914.16,1782.38,467,25.0,4.9,2247,16.44,True,2022-04-13,"[""limited"", ""eco""]",https://images.pexels.com/photos/9898358/pexels-photo-9898358.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU001279,PageTurn Compact Tablets Red 316,Electronics,Tablets,PageTurn,882.6,403.79,745.86,423.98,1147.38,80,,4.3,969,13.26,True,2021-11-07,"[""new"", ""bestseller"", ""eco""]",https://images.pexels.com/photos/51929/medications-cure-tablets-pharmacy-51929.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU001167,VitaPlus Elite Laptops White 407,Electronics,Laptops,VitaPlus,879.14,504.79,715.1,530.03,1142.88,363,28.0,3.4,895,13.58,True,2021-05-14,"[""sale"", ""exclusive"", ""limited""]",https://images.pexels.com/photos/30204603/pexels-photo-30204603.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU003306,CoreLine Lite Bedding Silver 466,Home & Kitchen,Bedding,CoreLine,522.2,312.01,446.09,327.61,678.86,360,,3.7,3952,5.14,True,2021-07-14,"[""bestseller"", ""trending"", ""exclusive""]",https://images.pexels.com/photos/28084313/pexels-photo-28084313.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU006065,SkyLine Eco Magazines Red 625,Books & Media,Magazines,SkyLine,757.36,329.49,826.25,345.96,984.57,456,,3.5,4048,6.18,True,2021-12-01,"[""trending""]",https://images.pexels.com/photos/4271628/pexels-photo-4271628.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU001422,TrueBlend Ultra Smartwatches Blue 290,Electronics,Smartwatches,TrueBlend,1421.94,837.25,1492.59,879.11,1848.52,148,,2.6,2473,16.71,True,2023-02-19,"[""bestseller"", ""sale"", ""new""]",https://images.pexels.com/photos/19961773/pexels-photo-19961773.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU006149,BrightPath Ultra Magazines Black 639,Books & Media,Magazines,BrightPath,1350.23,802.05,1385.49,842.15,1755.3,103,,4.7,3102,10.31,True,2022-11-15,"[""exclusive"", ""eco"", ""sale""]",https://images.pexels.com/photos/9009308/pexels-photo-9009308.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU003367,AuraStyle Eco Bedding Gold 835,Home & Kitchen,Bedding,AuraStyle,929.46,406.7,883.05,427.04,1208.3,163,17.0,2.6,4155,18.06,True,2023-01-21,"[""eco"", ""bestseller""]",https://images.pexels.com/photos/28948933/pexels-photo-28948933.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU001471,UrbanEdge Smart Smartwatches White 121,Electronics,Smartwatches,UrbanEdge,360.13,230.94,380.19,242.49,468.17,83,,3.5,1262,2.5,True,2022-06-04,"[""limited"", ""trending"", ""exclusive""]",https://images.pexels.com/photos/30858721/pexels-photo-30858721.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU003985,PeakForm Ultra Small Green 614,Home & Kitchen,Small Appliances,PeakForm,1761.68,739.5,1420.28,776.48,2290.18,155,,3.1,3258,19.63,True,2022-08-09,"[""sale"", ""new""]",https://images.pexels.com/photos/30238388/pexels-photo-30238388.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU004149,EcoWave Eco Garden Blue 869,Home & Kitchen,Garden,EcoWave,959.12,435.05,791.05,456.8,1246.86,26,,3.9,4546,8.25,True,2021-09-18,"[""trending"", ""sale"", ""new""]",https://images.pexels.com/photos/9412408/pexels-photo-9412408.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU006353,NovaTech Premium Art Silver 590,Books & Media,Art Supplies,NovaTech,966.63,432.77,975.22,454.41,1256.62,185,,3.7,2102,17.79,True,2020-10-19,"[""new"", ""trending"", ""limited""]",https://images.pexels.com/photos/6732376/pexels-photo-6732376.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU002557,SwiftMart Compact Activewear White 258,Clothing,Activewear,SwiftMart,1477.76,793.25,1593.79,832.91,1921.09,331,,3.8,3170,16.96,True,2020-07-20,"[""limited"", ""sale"", ""new""]",https://images.pexels.com/photos/7880248/pexels-photo-7880248.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU001468,PureTouch Premium Smartwatches Pink 885,Electronics,Smartwatches,PureTouch,428.73,278.46,416.4,292.38,557.35,213,,3.1,4080,13.57,True,2020-02-23,"[""eco"", ""limited""]",https://images.pexels.com/photos/6373177/pexels-photo-6373177.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU003794,BoldCraft Pro Bath Gray 305,Home & Kitchen,Bath Accessories,BoldCraft,1083.32,605.74,1098.83,636.03,1408.32,145,,4.9,978,16.83,True,2022-03-05,"[""trending""]",https://images.pexels.com/photos/8015698/pexels-photo-8015698.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU001426,SwiftMart Lite Smartwatches Red 801,Electronics,Smartwatches,SwiftMart,1745.52,1059.02,1761.91,1111.97,2269.18,185,19.0,3.4,1177,0.36,True,2022-02-02,"[""bestseller"", ""trending""]",https://images.pexels.com/photos/10614004/pexels-photo-10614004.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU001240,PageTurn Compact Tablets Navy 220,Electronics,Tablets,PageTurn,840.56,525.06,743.74,551.31,1092.73,401,7.0,4.0,2154,16.65,True,2022-01-03,"[""bestseller"", ""trending"", ""sale""]",https://images.pexels.com/photos/16051978/pexels-photo-16051978.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU002126,PureTouch Elite Mens Red 535,Clothing,Mens Shirts,PureTouch,1355.75,880.57,1427.67,924.6,1762.48,484,16.0,4.6,1121,16.75,True,2022-06-08,"[""new""]",https://images.pexels.com/photos/10952730/pexels-photo-10952730.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU006274,RapidX Ultra Art Silver 260,Books & Media,Art Supplies,RapidX,248.79,140.94,253.56,147.99,323.43,168,18.0,4.3,4605,11.99,True,2022-11-20,"[""new""]",https://images.pexels.com/photos/28503348/pexels-photo-28503348.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU003574,PrimePick Compact Furniture Gray 655,Home & Kitchen,Furniture,PrimePick,1166.96,582.38,1224.91,611.5,1517.05,447,26.0,4.5,2337,9.3,True,2023-07-05,"[""exclusive"", ""limited"", ""sale""]",https://images.pexels.com/photos/12269763/pexels-photo-12269763.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU002334,SwiftMart Compact Jeans Navy 519,Clothing,Jeans,SwiftMart,331.63,191.04,331.32,200.59,431.12,148,,2.9,2415,7.86,True,2022-11-19,"[""trending"", ""exclusive"", ""eco""]",https://images.pexels.com/photos/4440867/pexels-photo-4440867.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU001008,BrightPath Pro Smartphones Silver 482,Electronics,Smartphones,BrightPath,1684.13,887.39,1732.55,931.76,2189.37,276,,4.8,4,12.02,True,2020-08-17,"[""limited"", ""trending""]",https://images.pexels.com/photos/16121800/pexels-photo-16121800.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU004103,LunaGear Elite Decor White 908,Home & Kitchen,Decor,LunaGear,1450.27,818.85,1585.07,859.79,1885.35,491,25.0,4.5,4029,8.12,False,2022-12-07,"[""bestseller"", ""new"", ""eco""]",https://images.pexels.com/photos/4202325/pexels-photo-4202325.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU004094,CoreLine Elite Decor White 423,Home & Kitchen,Decor,CoreLine,1707.58,1012.6,1493.28,1063.23,2219.85,338,,4.9,2330,4.12,True,2022-10-13,"[""exclusive""]",https://images.pexels.com/photos/28617395/pexels-photo-28617395.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU003864,UrbanEdge Deluxe Cleaning Gold 224,Home & Kitchen,Cleaning Supplies,UrbanEdge,1600.96,693.02,1381.48,727.67,2081.25,29,,3.9,3080,0.98,True,2023-03-13,"[""limited"", ""eco"", ""sale""]",https://images.pexels.com/photos/3177257/pexels-photo-3177257.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU004428,UrbanEdge Eco Haircare Pink 886,Beauty & Health,Haircare,UrbanEdge,743.14,327.44,771.82,343.81,966.08,106,,3.0,1606,14.78,True,2022-06-26,"[""eco"", ""sale""]",https://images.pexels.com/photos/8467960/pexels-photo-8467960.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU005200,AuraStyle Classic Eye Red 989,Beauty & Health,Eye Care,AuraStyle,969.37,480.84,779.62,504.88,1260.18,90,7.0,4.6,2780,17.9,True,2022-05-05,"[""bestseller""]",https://images.pexels.com/photos/7290184/pexels-photo-7290184.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU006202,EcoWave Ultra Stationery Pink 943,Books & Media,Stationery,EcoWave,599.72,370.38,481.07,388.9,779.64,404,,3.6,1380,13.27,True,2020-12-15,"[""exclusive""]",https://images.pexels.com/photos/6193076/pexels-photo-6193076.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU003235,VitaPlus Deluxe Cookware Gold 413,Home & Kitchen,Cookware,VitaPlus,214.84,103.97,199.85,109.17,279.29,493,,3.0,2604,19.24,True,2023-11-25,"[""eco"", ""new"", ""exclusive""]",https://images.pexels.com/photos/19599328/pexels-photo-19599328.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU006355,SkyLine Smart Art Black 526,Books & Media,Art Supplies,SkyLine,351.59,159.27,386.0,167.23,457.07,358,,3.0,2438,8.92,True,2022-05-24,"[""eco"", ""limited"", ""sale""]",https://images.pexels.com/photos/7025519/pexels-photo-7025519.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU002499,ZenHome Pro Activewear Navy 491,Clothing,Activewear,ZenHome,1609.52,653.52,1477.7,686.2,2092.38,82,,4.3,326,4.85,True,2023-01-19,"[""bestseller"", ""eco"", ""trending""]",https://images.pexels.com/photos/7480088/pexels-photo-7480088.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU006123,NextGen Pro Magazines Navy 446,Books & Media,Magazines,NextGen,1541.67,887.05,1367.63,931.4,2004.17,21,29.0,2.9,1126,0.27,True,2023-12-22,"[""limited"", ""bestseller""]",https://images.pexels.com/photos/25361524/pexels-photo-25361524.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU005461,RapidX Pro Non-Fiction Navy 939,Books & Media,Non-Fiction,RapidX,199.92,100.23,189.66,105.24,259.9,128,9.0,2.5,2734,11.07,True,2022-05-04,"[""limited"", ""trending"", ""exclusive""]",https://images.pexels.com/photos/9227840/pexels-photo-9227840.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU003629,BrightPath Pro Lighting Green 547,Home & Kitchen,Lighting,BrightPath,1215.93,579.92,1209.53,608.92,1580.71,378,,4.7,4146,18.91,True,2021-04-06,"[""bestseller"", ""sale"", ""exclusive""]",https://images.pexels.com/photos/34917708/pexels-photo-34917708.png?auto=compress&cs=tinysrgb&h=650&w=940
SKU002822,AuraStyle Lite Accessories Gray 565,Clothing,Accessories,AuraStyle,224.03,142.8,236.94,149.94,291.24,392,9.0,3.1,587,16.39,True,2023-11-22,"[""bestseller"", ""sale"", ""eco""]",https://images.pexels.com/photos/34479701/pexels-photo-34479701.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
SKU005161,NovaTech Compact Baby Pink 866,Beauty & Health,Baby Care,NovaTech,1700.76,683.23,1626.47,717.39,2210.99,498,,4.1,2444,14.92,True,2021-05-06,"[""bestseller"", ""sale""]",https://images.pexels.com/photos/20509001/pexels-photo-20509001.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
